,date,vault_address,vault_name,market_uniqueKey,vault_supplyUsd
141,2025-07-19,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
140,2025-07-20,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
139,2025-07-21,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
138,2025-07-22,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
137,2025-07-23,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
136,2025-07-24,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
135,2025-07-25,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
134,2025-07-26,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
133,2025-07-27,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
132,2025-07-28,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
131,2025-07-29,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
130,2025-07-30,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
129,2025-07-31,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
128,2025-08-01,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
127,2025-08-02,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
126,2025-08-03,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
125,2025-08-04,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
124,2025-08-05,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
123,2025-08-06,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
122,2025-08-07,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
121,2025-08-08,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
120,2025-08-09,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
119,2025-08-10,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
118,2025-08-11,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
117,2025-08-12,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
116,2025-08-13,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
115,2025-08-14,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
114,2025-08-15,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
113,2025-08-16,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
112,2025-08-17,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
111,2025-08-18,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
110,2025-08-19,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
109,2025-08-20,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
108,2025-08-21,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
107,2025-08-22,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
106,2025-08-23,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
105,2025-08-24,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
104,2025-08-25,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
